date,average_speed_over_ground_last_24h,average_rpm_last_24h,slip,wind_force,swell_force,latitude,longitude,draft_forward,draft_aft,trim,month,day,total_fuel,ist,mlotst,pbo,siage,sialb,siconc,sisnthick,sithick,sivelo,sob,tob,usi,vsi,zos,so,thetao,uo,vo,wo,u100,v100,u10n,u10,v10n,v10,d2m,t2m,p140209,cdww,p140208,istl1,hmax,mdts,mdww,mpts,mpww,msl,msqs,mwd,p140122,p140125,p140128,mwp,mp1,p1ps,p1ww,p2ps,p2ww,p140123,p140126,p140129,mp2,wmb,phioc,phiaw,tauoc,dwi,wind,pp1d,tmax,sst,swh,shts,shww,p140121,p140124,p140127,skt,asn,rsn,sd,sp,tsn,tcsw,wdw,dwps,dwww,wsk,wsp,wss
2021-11-16,13.7,50.1,-0.108,3,2,2.2666666666666666,102.68333333333334,7.4,10.9,3.5,11,16,19.0,0.0,12.262417128752471,-1661.4108353724002,0.0,0.0659999994797367,0.0,0.0,0.0,0.0,34.82421167319592,46.92667912673274,0.0,0.0,0.2830441623829561,33.99423147895305,28.171671551740282,-0.0871076307869042,0.05092756596623681,4.3223802625669364e-08,-1.1883329153060913,-1.2620519399642944,-0.5961723327636719,-0.602227509021759,-0.5392894744873047,-0.601837158203125,296.9686584472656,300.16412353515625,1.1815885002900441,0.0010951980199157593,0.75435985101378,271.4599609375,1.6595850704276578,376.26222003146324,492.1878602597976,6.515310951202796,3.0853139932999922,100856.2109375,0.006081472442064997,374.9179506264223,220.25683196028945,33.714711246274874,,5.810131763600115,4.7707156351263365,6.7287047478635635,2.415500835207144,6.068538778337878,1.9516197603900103,5.51814131562709,2.7836023962666836,14.413138053356391,5.213906731700768,-790.1713773027475,-2.2974120911912994,1.482792264380853,0.9881543293678307,374.6400358233873,5.296679761059911,2.884404494678627,5.056978594375596,302.69044647463926,1.7191665925099247,1.4444056834607537,0.6564047483652692,1.2774882868032718,0.49190796213005694,0.243408778740389,300.1778564453125,0.8800008296966553,99.99999237060547,0.0,100150.3203125,273.1579284667969,0.0524698905646801,0.6382054102693113,0.48018906210933293,0.46266637363824015,0.009398944899867989,3.2577007944325516,0.022810862795426625
2021-11-17,13.7,49.1,-0.132,3,2,5.95,98.61666666666666,7.4,10.9,3.5,11,17,47.599999999999994,0.0,16.063720703125,94.08415985107422,0.0,0.06599999964237213,0.0,0.0,0.0,0.0,33.750091552734375,26.79497528076172,0.0,0.0,0.6931521892547607,32.43431854248047,29.38434600830078,0.15921589732170105,-0.07257392257452011,-3.826117335847812e-06,4.9495158195495605,-2.155289888381958,4.903989791870117,4.569850444793701,-2.178513765335083,-2.0155582427978516,296.56439208984375,299.6120910644531,1.1620681285858154,0.001072074519470334,1.0050201416015625,271.4600830078125,1.294854760169983,300.5178527832031,300.7349548339844,4.852084636688232,2.860684394836426,100940.7109375,0.004402725957334042,299.6702880859375,237.22743225097656,111.61257934570312,166.150390625,4.051588535308838,3.4196231365203857,4.222428798675537,2.5992116928100586,3.8618879318237305,2.3990886211395264,5.9622802734375,4.321939945220947,12.265583992004395,3.0670177936553955,104.0,-2.7521564960479736,3.2954795360565186,0.9669291377067566,299.7060241699219,6.123555660247803,5.260007381439209,3.725226402282715,302.5584411621094,0.6732523441314697,0.46842464804649353,0.4490458071231842,0.44168615341186523,0.18534088134765625,0.01711018942296505,302.2910461425781,0.8800008296966553,99.99999237060547,0.0,100946.15625,302.5586853027344,0.2792765200138092,0.5555305480957031,0.34998878836631775,0.30202993750572205,0.028384407982230186,4.090588092803955,0.03706521540880203
2021-11-18,13.6,52.7,-0.051,5,3,6.256666666666667,93.53333333333333,7.4,10.9,3.5,11,18,54.7,0.0,14.864470481872559,1849.267578125,0.0,0.06599999964237213,0.0,0.0,0.0,0.0,34.960079193115234,5.77681827545166,0.0,0.0,0.648671567440033,33.15092086791992,28.810344696044922,0.251232773065567,-0.34823182225227356,-8.173989272108884e-07,1.7719942331314087,1.58926260471344,1.8595670461654663,1.6535295248031616,1.6917909383773804,1.513353943824768,296.7208251953125,299.9585876464844,1.1558786630630493,0.0007668173057027161,0.6718953251838684,271.4601135253906,2.0482168197631836,224.36766052246094,108.96646881103516,7.994299411773682,3.1405203342437744,100833.0390625,0.0021630965638905764,224.36949157714844,254.2755889892578,189.7423553466797,195.0726318359375,7.979478359222412,6.559604167938232,6.606000900268555,2.265151023864746,5.7991156578063965,0.4961293637752533,5.90887451171875,9.664164543151855,10.582621574401855,5.7114996910095215,999.0,-3.337310791015625,0.2623983919620514,1.022280216217041,224.29859924316406,2.8975830078125,8.968806266784668,6.822307109832764,301.9718322753906,1.0916997194290161,1.0901132822036743,0.0345255546271801,0.7822214961051941,0.5826237797737122,0.48249563574790955,301.78387451171875,0.8800008296966553,99.99999237060547,0.0,100821.2109375,301.9715270996094,0.1541849821805954,0.5872791409492493,0.6280883550643921,1.0184402465820312,0.0033148527145385742,2.1073172092437744,0.016263701021671295
2021-11-22,14.9,54.9,-0.104,3,2,13.45,73.2,7.4,10.9,3.5,11,22,58.400000000000006,0.0,12.354058265686035,1570.9368896484375,0.0,0.06599999964237213,0.0,0.0,0.0,0.0,34.85610580444336,4.163924217224121,0.0,0.0,0.38412824273109436,34.851890563964844,28.894847869873047,-0.030256301164627075,0.1486363261938095,1.2976904599781847e-06,0.4036966860294342,-1.0436102151870728,0.3903770446777344,0.38040223717689514,-0.9823887944221497,-0.9654324650764465,296.2365417480469,300.8450012207031,1.1576645374298096,0.0007877256721258163,0.6606979370117188,271.4599609375,1.7646976709365845,224.9183349609375,202.15789794921875,6.645790100097656,2.76141619682312,101066.0859375,0.0021252473816275597,225.55902099609375,228.5561065673828,160.2592010498047,328.0619201660156,6.586453914642334,5.736251354217529,5.882196426391602,2.145277976989746,5.3611321449279785,0.9507496953010559,6.194203853607178,9.27215576171875,6.17144775390625,5.128084659576416,998.0,-2.9911296367645264,0.1881154328584671,1.0150679349899292,246.52418518066406,3.1797688007354736,6.696041107177734,5.949596405029297,301.7796325683594,0.9388704299926758,0.9329363703727722,0.0698293074965477,0.8201866149902344,0.3590342104434967,0.2862129211425781,301.7566833496094,0.8800008296966553,99.99999237060547,0.0,101085.7265625,301.7790222167969,8.138021075865254e-05,0.6366962790489197,0.5672069787979126,0.7625236511230469,0.006677826400846243,3.9909002780914307,0.02114764414727688
2021-11-23,14.7,54.3,-0.1,3,2,17.125,69.13333333333334,7.4,10.9,3.5,11,23,58.6,0.0,16.92652130126953,3753.904541015625,0.0,0.06599999219179153,0.0,0.0,0.0,0.0,34.75291061401367,1.4674042463302612,0.0,0.0,0.2679402530193329,35.73414611816406,28.48302459716797,-0.05724819004535675,0.02146528847515583,2.854826277598477e-07,0.20285098254680634,-1.3995532989501953,0.2020263671875,0.20305950939655304,-1.5266081094741821,-1.3463249206542969,296.85125732421875,300.8330383300781,1.1576656103134155,0.000717970309779048,0.602874755859375,271.4600524902344,1.6592937707901,199.72828674316406,59.32182693481445,6.950558185577393,3.6869020462036133,101110.6484375,0.0014152192743495107,199.7620086669922,194.57965087890625,332.3758239746094,216.0364990234375,6.945502758026123,5.997734069824219,6.012718200683594,2.524667501449585,5.475837707519531,0.1269429475069046,6.5584797859191895,6.022928714752197,11.329813957214355,5.448127746582031,999.0,-2.6139118671417236,-0.8754889369010925,1.0105727910995483,208.07965087890625,2.389892578125,6.740210056304932,6.1685028076171875,301.86767578125,0.8883614540100098,0.8873336315155029,0.013224284164607525,0.7276973128318787,0.39531198143959045,0.2014821320772171,301.77276611328125,0.8800008296966553,99.99999237060547,0.0,101097.6953125,301.8677673339844,0.0,0.8896327614784241,0.7089667916297913,1.3153520822525024,0.006885198410600424,3.7214930057525635,0.019857855513691902
2021-11-24,14.9,54.0,-0.12,3,2,20.948333333333334,63.03333333333333,7.4,10.9,3.5,11,24,60.2,0.0,42.61141586303711,3460.416015625,0.0,0.06599999964237213,0.0,0.0,0.0,0.0,34.73971176147461,1.371498465538025,0.0,0.0,0.2951764762401581,36.29917526245117,27.532123565673828,-0.08190076053142548,0.1842612624168396,-1.665999462829859e-07,1.6091276407241821,-1.6625518798828125,1.7488542795181274,1.539415955543518,-1.7707595825195312,-1.5634835958480835,292.07293701171875,298.50421142578125,1.1721407175064087,0.0007313459645956755,0.6624628901481628,271.4600830078125,1.2602007389068604,144.0624237060547,94.7056655883789,6.774966716766357,3.357246160507202,101274.5703125,0.0014739377656951547,144.06631469726562,155.70693969726562,109.768798828125,328.97210693359375,6.763084888458252,5.354970455169678,5.387420654296875,2.3569581508636475,4.684337615966797,0.3102925717830658,6.6631622314453125,6.79901123046875,4.250833988189697,4.629090785980225,999.0,-2.168121337890625,0.46975836157798767,1.006752848625183,313.634521484375,2.50018310546875,8.718887329101562,5.651635646820068,299.9661560058594,0.6679263114929199,0.6669721007347107,0.016082763671875,0.4946737289428711,0.343719482421875,0.28743234276771545,299.4965515136719,0.8800008296966553,99.99999237060547,0.0,101272.4921875,299.9663391113281,0.0,0.6291131377220154,0.2980237901210785,1.1502443552017212,0.0013757148990407586,1.9247020483016968,0.00968062411993742
2021-11-25,14.2,55.0,-0.05,3,2,24.245,58.96666666666667,7.4,10.9,3.5,11,25,59.6,0.0,22.87254524230957,3288.783447265625,0.0,0.06599999964237213,0.0,0.0,0.0,0.0,34.77709197998047,1.7201377153396606,0.0,0.0,0.08849888294935226,36.82551956176758,26.394678115844727,-0.16544795036315918,-0.4518536627292633,-1.704227230447941e-07,5.922946453094482,-3.1784725189208984,5.39706563949585,5.246612071990967,-2.8574230670928955,-2.7804114818573,294.68603515625,299.1358947753906,1.1685298681259155,0.0010742307640612125,0.6441116333007812,271.4600524902344,1.3141018152236938,253.55751037597656,296.7837829589844,5.441438674926758,2.9791133403778076,101358.0859375,0.004307291004806757,291.87847900390625,250.31756591796875,154.572021484375,148.81106567382812,4.288393020629883,3.502365827560425,4.594559192657471,2.7041513919830322,4.156850814819336,2.494389772415161,17.83750343322754,9.103515625,2.98199462890625,3.117233991622925,999.0,-2.6335246562957764,3.471238374710083,0.9560890793800354,296.6192321777344,6.2042236328125,4.078916072845459,3.818821668624878,299.7410583496094,0.6816791892051697,0.45470502972602844,0.4839375913143158,0.35470783710479736,0.25423431396484375,0.042331695556640625,299.4526062011719,0.8800008296966553,99.99999237060547,0.0,101407.5,299.7414855957031,0.0,0.584541380405426,0.5456377863883972,0.27574029564857483,0.02420985698699951,4.323753356933594,0.0403711311519146
2021-11-26,14.0,50.4,-0.126,3,2,26.476666666666667,53.88333333333333,7.4,10.9,3.5,11,26,51.5,0.0,17.32634735107422,18.418987274169922,0.0,0.06599999964237213,0.0,0.0,0.0,0.0,38.25180435180664,27.14287567138672,0.0,0.0,0.27931201457977295,38.25432586669922,27.199565887451172,-0.06746089458465576,0.005693259183317423,-1.0270039183524204e-06,1.9094022512435913,-1.3142133951187134,1.8359419107437134,1.7208576202392578,-1.3203951120376587,-1.2024288177490234,290.3323669433594,300.00146484375,1.162005066871643,0.0007446230738423765,0.5869624018669128,271.46014404296875,0.7375923991203308,288.6867370605469,144.7046661376953,4.254566669464111,2.956947088241577,101558.5,0.0013475463492795825,288.9016418457031,285.2923278808594,107.70731353759766,184.46673583984375,4.137653827667236,3.592233419418335,3.7625620365142822,2.2138254642486572,3.4075210094451904,0.75152587890625,4.365254878997803,3.1096394062042236,8.267130851745605,3.2032973766326904,35.0,-1.54510498046875,1.009299635887146,1.0021036863327026,210.1985626220703,2.6551311016082764,4.8914971351623535,3.9253532886505127,300.8218688964844,0.39549192786216736,0.3774668276309967,0.0677134171128273,0.3345489501953125,0.0300140380859375,0.00307464599609375,300.3781433105469,0.880000650882721,99.99999237060547,0.0,101346.71875,300.8212585449219,0.0,0.4654511511325836,0.31375861167907715,0.864172637462616,0.003724296810105443,4.405389785766602,0.01594790257513523
2021-11-30,12.0,48.3,0.0,4,2,27.188333333333333,50.833333333333336,20.8,20.8,0.0,11,30,7.300000000000001,0.0,46.85253143310547,65.14952850341797,0.0,0.06599999964237213,0.0,0.0,0.0,0.0,38.42945861816406,24.39047622680664,0.0,0.0,0.267899751663208,38.53944778442383,26.089017868041992,-0.05716262385249138,-0.009329788386821747,1.9751050785998814e-06,1.3801904916763306,-4.197085857391357,1.3523445129394531,1.277610182762146,-4.207980632781982,-3.932249069213867,290.7159729003906,298.01678466796875,1.1789255142211914,0.0009032071684487164,0.7305195927619934,271.4599609375,0.9974521994590759,325.69805908203125,276.3416442871094,4.017553806304932,2.6445133686065674,101628.2890625,0.0028624937403947115,326.4486389160156,323.5563049316406,197.96856689453125,129.5672607421875,3.738297700881958,3.3329248428344727,3.7237017154693604,2.242624282836914,3.4999725818634033,1.6168975830078125,4.077789783477783,2.83367919921875,8.9468994140625,3.0401031970977783,58.0,-2.4381916522979736,2.1351020336151123,0.9976811408996582,299.0826721191406,4.40423583984375,4.423255920410156,3.597052812576294,299.2313232421875,0.5323514938354492,0.4695887565612793,0.2154032438993454,0.47753599286079407,0.013209025375545025,0.0047887167893350124,298.8971862792969,0.8800005316734314,99.99999237060547,0.0,101619.9609375,299.2314147949219,0.0,0.550152599811554,0.39312317967414856,0.4838930666446686,0.008633176796138287,4.610336780548096,0.025758134201169014
2021-12-01,13.0,55.7,0.049,3,2,26.276666666666667,55.916666666666664,20.8,20.8,0.0,12,1,64.0,0.0,18.600950241088867,81.12598419189453,0.0,0.06599999964237213,0.0,0.0,0.0,0.0,39.05595779418945,25.84422492980957,0.0,0.0,0.2715034484863281,37.633628845214844,26.504711151123047,-0.08832764625549316,-0.10012949258089066,1.1964866644120775e-06,-2.1710422039031982,-1.4307454824447632,-2.24096417427063,-2.0097362995147705,-1.5387115478515625,-1.411558747291565,289.4568786621094,298.4692077636719,1.178615689277649,0.0007468896801583469,0.650054931640625,271.46014404296875,0.3655076026916504,49.109432220458984,40.973907470703125,3.604464292526245,3.256649971008301,101555.9453125,0.0006834573578089476,48.104339599609375,113.9909896850586,123.45773315429688,160.15223693847656,3.507113218307495,2.8600032329559326,2.9691340923309326,2.342609405517578,2.648292064666748,0.4930572509765625,3.668450117111206,4.271891117095947,7.78826904296875,2.534278392791748,39.0,-0.9813334345817566,0.9166412353515625,0.9985974431037903,73.26864624023438,2.7245280742645264,4.1547112464904785,3.300077199935913,299.9834289550781,0.19887417554855347,0.18699558079242706,0.0387420654296875,0.1317005306482315,0.0930989608168602,0.033827465027570724,299.5284423828125,0.8800005316734314,99.99999237060547,0.0,101233.0234375,299.98321533203125,0.0,0.8378947377204895,0.8608617782592773,1.0567995309829712,0.004997769836336374,3.3315746784210205,0.013393014669418335
