corridor,scenario,variant,GC,SEA,delta_nm,delta_pct
CAPE,CAPE_VAR1_service,service,14524.321941654558,15803.020558880993,1278.698617226435,8.803843803263772
CAPE,CAPE_VAR2_bluewater,bluewater,15114.290774338493,16051.905674600695,937.6149002622024,6.203499153622966
CAPE,CAPE_VAR3_coast,coast,14197.117253450053,16073.354669396185,1876.2374159461324,13.215622456665887
NSR,NSR_VAR1_service,service,7309.553599287452,8642.788082492412,1333.2344832049603,18.23961566319079
NSR,NSR_VAR2_bluewater,bluewater,7336.527477332609,8612.98193557808,1276.454458245471,17.398618926859932
NSR,NSR_VAR3_coast,coast,7265.333524592393,8588.469298809518,1323.135774217125,18.211631575322027
SUEZ,SUEZ_VAR1_service,service,10781.569547151357,11545.574690254874,764.0051431035172,7.0862144863256775
SUEZ,SUEZ_VAR2_bluewater,bluewater,11258.537215984765,11981.477800845592,722.9405848608276,6.421265667038907
SUEZ,SUEZ_VAR3_coast,coast,10798.192705762984,11703.988282500326,905.7955767373423,8.388399812997598
