corridor,median,min,max,std,cv_pct
CAPE,16051.905674600695,15803.020558880993,16073.354669396185,150.26886543380968,0.9361434615927479
NSR,8612.98193557808,8588.469298809518,8642.788082492412,27.202346761554953,0.31582960425342177
SUEZ,11703.988282500326,11545.574690254874,11981.477800845592,220.64557583836378,1.8852169919570971
