corridor,distance_nm,days,fuel_t,co2_t
CAPE,14768.44524861238,43.95370609706065,2241.6390109500935,6980.463880098591
NSR,10375.285873977478,34.584286246591596,1314.2028773704806,4092.427760131676
SUEZ,10959.980072255152,31.494195609928596,1574.7097804964299,4903.646256465882
