scenario,variant,corridor,method,distance_nm,speed_kn,hours,days,fuel_me_t,fuel_aux_t,fuel_t,co2_t,tag
CAPE_VAR1_SEA,CAPE_VAR1,CAPE,SEA,15198.550558684768,14.0,1085.6107541917693,45.23378142465705,2080.7539455342244,226.16890712328527,2306.92285265751,7183.757763175485,DEST_BUSAN
CAPE_VAR2_SEA,CAPE_VAR2,CAPE,SEA,14715.410213227822,14.0,1051.100729516273,43.79586372984471,2014.6097315728566,218.97931864922356,2233.58905022208,6955.396302391557,DEST_BUSAN
CAPE_VAR3_SEA,CAPE_VAR3,CAPE,SEA,14768.44524861238,14.0,1054.8889463294556,43.95370609706065,2021.87048046479,219.76853048530327,2241.6390109500935,6980.463880098591,DEST_BUSAN
NSR_VAR1_SEA,NSR_VAR1,NSR,SEA,8783.767056508628,12.5,702.7013645206903,29.279223521695428,966.2143762159492,146.39611760847714,1112.6104938244264,3464.669077769264,DEST_BUSAN
NSR_VAR2_SEA,NSR_VAR2,NSR,SEA,10858.604281959953,12.5,868.6883425567962,36.195347606533176,1194.4464710155949,180.97673803266588,1375.4232090482608,4283.067872976284,DEST_BUSAN
NSR_VAR3_SEA,NSR_VAR3,NSR,SEA,10375.285873977478,12.5,830.0228699181982,34.584286246591596,1141.2814461375226,172.92143123295799,1314.2028773704806,4092.427760131676,DEST_BUSAN
SUEZ_VAR1_SEA,SUEZ_VAR1,SUEZ,SEA,10959.98007225515,14.5,755.8606946382862,31.494195609928592,1417.2388024467866,157.47097804964295,1574.7097804964296,4903.646256465881,DEST_BUSAN
SUEZ_VAR2_SEA,SUEZ_VAR2,SUEZ,SEA,10959.980072255152,14.5,755.8606946382863,31.494195609928596,1417.2388024467868,157.47097804964298,1574.7097804964299,4903.646256465882,DEST_BUSAN
SUEZ_VAR3_SEA,SUEZ_VAR3,SUEZ,SEA,11008.094516980924,14.5,759.178932205581,31.632455508565872,1423.4604978854643,158.16227754282937,1581.6227754282936,4925.173322683706,DEST_BUSAN
