scenario,corridor,speed_kn,distance_gc_nm,distance_sea_nm,delta_nm,delta_pct,hours,days,fuel_me_t,fuel_aux_t,fuel_total_t,co2_t,legs
CAPE_VAR1,CAPE,14.5,14498.691043857936,15293.911694411885,795.2206505539489,5.484775474892455,1054.7525306490954,43.94802211037898,1933.712972856675,215.34530834085697,2149.058281197532,6692.167487649114,8
CAPE_VAR2,CAPE,14.5,14228.887544681482,15265.691694560403,1036.8041498789207,7.286614267089774,1052.8063237627864,43.866930156782765,1930.1449268984418,214.94795776823557,2145.0928846666775,6679.819242852033,7
CAPE_VAR3,CAPE,14.5,14472.914113832001,15078.98293136594,606.0688175339383,4.187607366195232,1039.929857335582,43.33041072231592,1906.5380717819005,212.31901253934802,2118.8570843212483,6598.120960576367,7
NSR_VAR1,NSR,12.5,7049.934180334201,7769.088032462887,719.1538521286857,10.200859096454632,621.5270425970309,25.896960108209623,725.1148830298694,119.12601649776424,844.2408995276336,2628.9661611290508,12
NSR_VAR2,NSR,12.5,7067.839827611564,7947.176921247063,879.3370936354986,12.441384002510045,635.7741536997651,26.49058973749021,741.7365126497258,121.85671279245497,863.5932254421807,2689.2293040269506,12
NSR_VAR3,NSR,12.5,6954.958691313173,7853.092790831832,898.1340995186583,12.91357920846372,628.2474232665465,26.17697596943944,732.9553271443043,120.4140894594214,853.3694166037258,2657.3923633040017,12
SUEZ_VAR1,SUEZ,14.5,10747.704155546231,11349.248971167573,601.5448156213424,5.596961052476701,782.7068255977637,32.61278439990682,1434.9625135959002,159.80264355954344,1594.7651571554436,4966.098699382052,6
SUEZ_VAR2,SUEZ,14.5,10683.82026823079,11737.411512840372,1053.5912446095826,9.86155905058158,809.4766560579567,33.72819400241486,1484.040536106254,165.26815061183285,1649.3086867180868,5135.947250440122,6
SUEZ_VAR3,SUEZ,14.5,10883.230539599423,12261.325949685954,1378.095410086531,12.662558282416523,845.6086861852382,35.23369525771826,1550.2825913396034,172.6451067628195,1722.927698102423,5365.196851890945,6
